Viikkia	1,9,12:d:e,n,x
Bruxelles	41:y:-
Forges	47:z4,z23:1,2
Trumersee	1,6,14,25:k:e,n,x
Pajala	13,23:z41:e,n,z15
Chapuri	13,23:i:z6
Baltimore	35:y:l,w
Landeskrone	39:-:1,6
Rosslyn	51:y:1,2
Kakikoka	30:b:z6
Parabiago	28:c:l,w
Durance	13,22:z:z6
Santaclara	3,10:z35:1,5
Capetown	3,15,34:y:1,6
Fortbend	1,3,19:z41:e,n,z15
Mali	51:r:e,n,x
Bergerac	44:c:e,n,x
Salpetriere	21:k:1,6
Wembleypark	17:g,m:-
Noho	13,23:k:1,6
Ashford	6,7:k:z35
Elmdon	51:i:1,2
Torbay	3,10:l,z28:1,5
Colchester	8,20:r:1,6
Sandbanks	6,8:k:1,7
Cork	9,46:y:1,2
Frimley	39:r:1,5
Harrow	4,12:z10:1,7
Goodmayes	44:z:e,n,z15
Poole	9,46:a:1,6
Kingslynn	3,10:z:e,n,z15
Maybush	11:z:e,n,z15
Carshalton	47:g,m,s:-
Stafford	6,14,24:z:l,z13,z28
Coppettswood	30:b:l,z13,z28
Welwyn	11:l,z13,z28:e,n,z15
Zollikerberg	6,7:z4,z24:1,5
Yverdon	1,4,12:z38:1,5
Nuorikkala	8:z4,z24:e,n,x
Gostenhof	1,42:d:z6
Owerri	6,14,25:l,z13,z28:1,6
Braeswood	47:c:z6
Saintes	t13,23:d:e,n,x
Perrosguirec	4,12:z4,z23:e,n,z15
