https://www.pasteur.fr/sites/default/files/veng_0.pdf

    Aachen  17  z35 1,6
    Aarhus 18 z4,z23 z64
    Aba 6,8 i e,n,z15
    Abadina 28 g,m [e,n,z15]
    Abaetetuba 11 k 1,5
    Aberdeen 11 i 1,2
    Abidjan 39 b l,w
    Ablogame 16 l,z13,z28 z6
    Abobo 16 i z6
    Abony 1,4,[5],12,[27] b e,n,x
    Abortusequi 4,12 – e,n,x
    Abortusovis 4,12 c 1,6
    Abuja 11 g,m 1,5
    Accra 1,3,19 b z6
    Ackwepe 9,46 l,w –
    Adabraka 3,10 z4,z23 [1,7]
    Adamstown 28 k 1,6
    Adamstua 11 e,h 1,6
    Adana 43 z10 1,5
    Adelaide 35 f,g – [z27]
    Adeoyo 16 g,m,[t] –
    Aderike 28 z38 e,n,z15
    Adime 6,7 b 1,6
    Adjame 13,23 r 1,6
    Aequatoria 6,7 z4,z23 e,n,z15
    Aesch 6,8 z60 1,2
    Aflao 1,6,14,25 l,z28 e,n,x
    Africana 4,12 r,i l,w
    Afula 6,7 f,g,t e,n,x
    Agama 4,12 i 1,6
    Agbara 16 i 1,6
    Agbeni 1,13,23 g,m,[s],[t] –
    Agege 3,10 c e,n,z15
    Ago 30 z38 –
    Agodi 35 g,t –
    Agona 1,4,[5],12 f,g,s [1,2] [z27],[z45]
    112/166
    Agoueve 13,22 z29 –
    Ahanou 17 i 1,7
    Ahepe 43 z35 1,6
    Ahmadi 1,3,19 d 1,5
    Ahoutoue 41 z35 1,6
    Ahuza 43 k 1,5
    Ajiobo 13,23 z4,z23 –
    Akanji 6,8 r 1,7
    Akuafo 16 y 1,6
    Alabama 9,12 c e,n,z15
    Alachua 35 z4,z23 – [z37],[z45]
    Alagbon 8,20 y 1,7
    Alamo 6,7 g,z51 1,5
    Albany 8,20 z4,z24 – [z45]
    Albert 4,12 z10 e,n,x
    Albertbanjul 44 r 1,5
    Albertslund 3,10 z38 1,6
    Albuquerque 1,6,14,24 d z6
    Alexanderplatz 47 z38 –
    Alexanderpolder 8 c l,w
    Alfort 3,10 f,g e,n,x
    Alger 38 l,v 1,2
    Alkmaar 1,3,19 a l,w
    Allandale 1,40 k 1,6
    Allerton 3,10 b 1,6
    Alma 39 i e,n,z15
    Alminko 8,20 g,s,t –
    Alpenquai 6,14 l,v e,n,z15
    Altendorf 4,12,[27] c 1,7
    Altona 8,20 r,[i] z6
    Amager 3,{10}{15} y 1,2 [z45]
    Amba 11 k l,z13,z28
    Amberg 6,14,24 l,v 1,7
    Amersfoort 6,7,14 d e,n,x
    Amherstiana 8 l,v 1,6
    Amina 16 i 1,5
    Aminatu 3,10 a 1,2
    Amounderness 3,10 i 1,5
    Amoutive 28 d 1,5
    Amsterdam 3,{10}{15}{15,34} g,m,s –
    Amunigun 16 a 1,6
    113/166
    Anatum 3,{10}{15}{15,34} e,h 1,6 [z64]
    Anderlecht 3,10 c l,w
    Anecho 35 g,s,t –
    Anfo 39 y 1,2
    Angers 8,20 z35 z6
    Angoda 30 k e,n,x
    Angouleme 16 z10 z6
    Ank 28 k e,n,z15
    Anna 13,23 z35 e,n,z15
    Annedal 16 r,i e,n,x
    Antarctica 9,12 g,z63 –
    Antonio 57 a z6
    Antsalova 51 z 1,5
    Antwerpen 1,42 c e,n,z15
    Apapa 45 m,t –
    Apeyeme 8,20 z38 –
    Aprad 45 z10 –
    Aqua 30 k 1,6
    Aragua 30 z29 –
    Arapahoe 6,14 z4,z23 1,5
    Arechavaleta 4,[5],12 a 1,7
    Argenteuil 1,9,46 c 1,7
    Arusha 43 z e,n,z15
    Aschersleben 30 b 1,5
    Ashanti 28 b 1,6
    Assen 21 a [1,5]
    Assinie 3,10 l,w z6 [z45]
    Astridplein 16 e,h 1,6
    Asylanta 3,10 c 1,2
    Atakpame 8,20 e,h 1,7
    Atento 11 b 1,2
    Athens 1,40 g,m,s e,n,x
    Athinai 6,7 i e,n,z15
    Ati 11 d 1,2
    Augustenborg 6,7,14 i 1,2
    Aurelianis 9,12 z e,n,z15
    Austin 6,7 a 1,7
    Australia 48 l,v 1,5
    Avignon 16 y e,n,z15
    Avonmouth 1,3,19 i e,n,z15
    Axim 16 z4,z23 z6 
    114/166
    Ayinde 1,4,12,27 d z6
    Ayton 1,4,12,27 l,w z6
    Azteca 4,[5],12,[27] l,v 1,5
    B
    Babelsberg 28 z4,z23 [e,n,z15]
    Babili 28 z35 1,7
    Badagry 16 z10 1,5
    Baguida 21 z4,z23 –
    Baguirmi 30 y e,n,x
    Bahati 13,22 b e,n,z15
    Bahrenfeld 6,14,[24] e,h 1,5
    Baiboukoum 6,7 k 1,7
    Baildon 9,46 a e,n,x
    Bakau 28 a 1,7
    Balcones 45 z36 –
    Ball 1,4,[5],12,[27] y e,n,x
    Bama 17 m,t –
    Bamboye 9,46 b l,w
    Bambylor 9,46 z e,n,z15
    Banalia 6,8 b z6
    Banana 1,4,[5],12 m,t [1,5]
    Banco 28 r,i 1,7
    Bandia 35 i l,w
    Bandim 17 k 1,6
    Bangkok 38 z4,z24 –
    Bangui 9,12 d e,n,z15
    Banjul 1,6,14,25 a e,n,z15
    Bardo 8 e,h 1,2
    Bareilly 6,7,14 y 1,5
    Bargny 8,20 i 1,5
    Barmbek 16 d z6
    Barranquilla 16 d e,n,x
    Barry 54 z10 e,n,z15
    115/166
    Basingstoke 9,46 z35 e,n,z15
    Bassa 6,8 m,t –
    Bassadji 28 r 1,6
    Bata 9,12 b 1,7
    Batonrouge 57 b e,n,z15
    Battle 16 l,z13,z28 1,6
    Bazenheid 8,20 z10 1,2
    Be 8,20 a [z6]
    Beaudesert [1],6,14,[25] e,h 1,7
    Bedford 1,3,19 l,z13,z28 e,n,z15
    Belem 6,8 c e,n,x
    Belfast 6,8 c 1,7
    Bellevue 8 z4,z23 1,7
    Benfica 3,10 b e,n,x
    Benguella 40 b z6
    Benin 9,46 y 1,7
    Benue 6,8 y l,w
    Bere 47 z4,z23 z6 [z45],[z58]
    Bergedorf 9,46 e,h 1,2
    Bergen 47 i e,n,z15
    Bergues 51 z10 1,5
    Berkeley 43 a 1,5
    Berlin 17 d 1,5
    Berta 1,9,12 [f],g,[t] –
    Bessi 3,10 i e,n,x
    Bethune 1,3,19 k 1,7
    Biafra 3,10 z10 z6
    Bida 1,3,19 c 1,6
    Bietri 30 y 1,5
    Bignona 17 b e,n,z15
    Bijlmer 1,40 g,m –
    Bilu 1,3,10,19 f,g,t 1,(2),7
    Binche 47 z4,z23 l,w
    Bingerville 47 z35 e,n,z15
    Binningen 45 g,s,t –
    Birkenhead 6,7 c 1,6
    Birmingham 3,{10}{15} d l,w
    Bispebjerg 1,4,[5],12 a e,n,x
    Bissau 4,12 c e,n,x
    Blancmesnil 4,12 l,w e,n,z15
    Blegdam 9,12 g,m,q –
    116/166
    Blijdorp 1,6,14,25 c 1,5
    Blitta 47 y e,n,x
    Blockley 6,8 k 1,5 [z58]
    Bloomsbury 3,10 g,t 1,5
    Blukwa 6,14,18 z4,z24 –
    Bobo 44 d 1,5
    Bochum 1,4,[5],12 r l,w
    Bodjonegoro 30 z4,z24 –
    Boecker [1],6,14,[25] l,v 1,7
    Bofflens 41 z4,z23 1,7
    Bokanjac 28 b 1,7
    Bolama 44 z e,n,x
    Bolombo 3,10 z38 [z6]
    Bolton 3,10 y e,n,z15
    Bonames 17 a 1,2
    Bonariensis 6,8 i e,n,x
    Bonn 6,7 l,v e,n,x
    Bootle 47 k 1,5
    Borbeck 13,22 l,v 1,6
    Bordeaux 52 k 1,5
    Borreze 54 f,g,s –
    Borromea 42 i 1,6
    Bouake 16 z z6
    Bournemouth 9,12 e,h 1,2
    Bousso 1,6,14,25 z4,z23 [e,n,z15]
    Bovismorbificans 6,8,20 r,[i] 1,5 [R1…]
    Brackenridge 44 z 1,5
    Bracknell 13,23 b 1,6
    Bradford 4,12,[27] r 1,5
    Braenderup 6,7,14 e,h e,n,z15
    Brancaster 1,4,12,27 z29 –
    Brandenburg 4,[5],12 l,v e,n,z15
    Brazil 16 a 1,5
    Brazos 6,14,18 a e,n,z15
    Brazzaville 6,7 b 1,2
    Breda 6,8 z4,z23 e,n,x
    Bredeney 1,4,12,27 l,v 1,7 [z40]
    Brefet 44 r e,n,z15
    Breukelen 6,8 l,z13,[z28] e,n,z15
    Brevik 16 z e,n,[x],z15
    Brezany 1,4,12,27 d 1,6
    117/166
    Brijbhumi 11 i 1,5
    Brikama 8,20 r,[i] l,w
    Brindisi 11 c 1,6
    Brisbane 28 z e,n,z15
    Bristol 13,22 z 1,7
    Brive 1,42 r l,w
    Broc 42 z4,z23 e,n,z15
    Bron 13,22 g,m [e,n,z15]
    Bronx 6,8 c 1,6
    Brooklyn 16 l,w e,n,x
    Broughton 1,3,19 b l,w
    Bruck 6,7 z l,w
    Bruebach 39 e,h 1,2
    Brunei 8,20 y 1,5
    Brunflo 16 r 1,7
    Bsilla 6,8 r 1,2
    Buckeye 48 d – [z58]
    Budapest 1,4,12,[27] g,t –
    Bukavu 1,40 l,z28 1,5
    Bukuru 6,8 b l,w
    Bulgaria 6,8 y 1,6
    Bullbay 11 l,v e,n,z15
    Bulovka 6,7 z44 –
    Burgas 16 l,v e,n,z15
    Burundi 41 a –
    Bury 4,12,27 c z6
    Businga 6,7 z e,n,z15
    Butantan 3,{10}{15}{15,34} b 1,5
    Butare 52 e,h 1,6
    Buzu [1],6,14,[25] i 1,7
    C
    Caen 16 d l,w [z82]
    Cairina 3,10 z35 z6
    118/166
    Cairns 45 k e,n,z15
    Calabar 1,3,19 e,h l,w
    California 4,12 g,m,t [z67]
    Camberene 35 z10 1,5
    Camberwell 9,12 r 1,7
    Campinense 9,12 r e,n,z15
    Canada 4,12,[27] b 1,6
    Canary 40 l,v 1,6
    Cannobio 28 z4,z23 1,5
